id,Geographic Area Name,Estimate!!Total!!Population 18 to 24 years,Estimate!!Total!!Population 18 to 24 years!!Less than high school graduate,Estimate!!Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Estimate!!Total!!Population 18 to 24 years!!Some college or associate's degree,Estimate!!Total!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,Estimate!!Total!!Population 25 years and over!!9th to 12th grade!!no diploma,Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),Estimate!!Total!!Population 25 years and over!!Some college!!no degree,Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher
0500000US48299,Llano County  Texas,1058,222,429,350,57,16562,775,1546,4295,4431,1264,3045,1206,14241,4251
0500000US48301,Loving County  Texas,3,0,3,0,0,75,0,17,15,29,14,0,0,58,0
0500000US48303,Lubbock County  Texas,51394,4327,11823,29923,5321,177457,10652,14575,46606,42786,11281,32380,19177,152230,51557
0500000US48305,Lynn County  Texas,461,81,191,146,43,3805,387,522,1126,906,171,524,169,2896,693
0500000US48307,McCulloch County  Texas,517,64,342,92,19,5715,433,706,1741,1511,238,761,325,4576,1086
0500000US48309,McLennan County  Texas,36672,3648,10966,18694,3364,150034,9370,14205,41380,34621,14966,22940,12552,126459,35492
0500000US48311,McMullen County  Texas,24,6,4,13,1,464,14,31,200,96,15,42,66,419,108
0500000US48313,Madison County  Texas,1414,461,638,266,49,9689,856,1083,3754,2220,455,972,349,7750,1321
0500000US48315,Marion County  Texas,663,176,278,160,49,7573,280,970,3083,1647,467,806,320,6323,1126
0500000US48317,Martin County  Texas,570,123,242,168,37,3290,290,465,1023,668,174,477,193,2535,670
0500000US48319,Mason County  Texas,300,46,104,150,0,2976,220,132,974,891,164,427,168,2624,595
0500000US48321,Matagorda County  Texas,3074,482,1289,1226,77,24144,2959,2291,7643,5383,1840,2881,1147,18894,4028
0500000US48323,Maverick County  Texas,6957,1528,2440,2742,247,32606,8602,4543,7141,6130,2109,3019,1062,19461,4081
0500000US48325,Medina County  Texas,4853,1095,1720,1830,208,32962,2480,3121,10189,8125,2520,4237,2290,27361,6527
0500000US48327,Menard County  Texas,103,4,81,7,11,1716,194,121,603,403,90,175,130,1401,305
0500000US48329,Midland County  Texas,15450,2722,6038,5647,1043,102481,6571,9991,26517,23129,8224,20081,7968,85919,28049
0500000US48331,Milam County  Texas,2048,451,862,598,137,16546,1118,1824,6320,3565,1434,1695,590,13604,2285
0500000US48333,Mills County  Texas,401,124,110,166,1,3411,413,253,1038,785,302,448,172,2745,620
0500000US48335,Mitchell County  Texas,1140,479,414,201,46,5769,517,708,2152,1305,406,566,115,4544,681
0500000US48337,Montague County  Texas,1421,321,467,570,63,13546,732,1234,5083,3388,1013,1359,737,11580,2096
0500000US48339,Montgomery County  Texas,46032,9446,14537,17947,4102,360769,19088,26509,80427,82672,27019,82710,42344,315172,125054
0500000US48341,Moore County  Texas,2369,706,756,787,120,12516,2833,1338,2916,2699,938,1208,584,8345,1792
0500000US48343,Morris County  Texas,910,218,373,319,0,8673,372,637,3536,2446,340,856,486,7664,1342
0500000US48345,Motley County  Texas,55,15,19,21,0,791,19,90,238,262,50,109,23,682,132
0500000US48347,Nacogdoches County  Texas,12741,674,2659,8683,725,37475,2544,3730,10944,8511,2569,5784,3393,31201,9177
0500000US48349,Navarro County  Texas,4150,584,1849,1605,112,31679,3279,3600,9315,7487,2884,3270,1844,24800,5114
0500000US48351,Newton County  Texas,1470,652,556,262,0,9708,530,1052,4050,2660,555,686,175,8126,861
0500000US48353,Nolan County  Texas,1461,459,434,485,83,9613,817,1004,3178,2368,759,1101,386,7792,1487
0500000US48355,Nueces County  Texas,36443,4968,13345,15669,2461,234039,17789,23425,67576,56141,18705,32467,17936,192825,50403
0500000US48357,Ochiltree County  Texas,903,254,168,453,28,6174,774,753,1940,1349,422,730,206,4647,936
0500000US48359,Oldham County  Texas,176,79,73,23,1,1150,45,120,384,251,91,196,63,985,259
0500000US48361,Orange County  Texas,7124,1358,2549,3005,212,56063,1586,4980,21728,14211,5002,6604,1952,49497,8556
0500000US48363,Palo Pinto County  Texas,2330,527,1161,516,126,19305,1163,1936,6953,4780,1286,2263,924,16206,3187
0500000US48365,Panola County  Texas,2081,324,666,1046,45,15785,822,1758,5285,4407,1069,1661,783,13205,2444
0500000US48367,Parker County  Texas,10527,1567,4121,3917,922,87084,3573,5962,25111,21585,7551,16074,7228,77549,23302
0500000US48369,Parmer County  Texas,926,291,358,248,29,6048,1162,606,1893,1068,250,831,238,4280,1069
0500000US48371,Pecos County  Texas,1356,399,532,352,73,10580,1826,1399,3858,2039,426,624,408,7355,1032
0500000US48373,Polk County  Texas,3699,750,1508,1237,204,34334,2290,4510,12601,7917,2217,3520,1279,27534,4799
0500000US48375,Potter County  Texas,11227,2094,4055,4503,575,76310,8012,9212,24126,18102,5568,7736,3554,59086,11290
0500000US48377,Presidio County  Texas,584,388,143,44,9,4602,1821,370,881,510,97,609,314,2411,923
0500000US48379,Rains County  Texas,697,162,316,214,5,8473,525,764,3545,2107,539,667,326,7184,993
0500000US48381,Randall County  Texas,13576,1605,3836,7239,896,86951,2007,5065,19061,24416,8569,18962,8871,79879,27833
0500000US48383,Reagan County  Texas,357,29,253,75,0,2283,224,238,878,618,83,174,68,1821,242
0500000US48385,Real County  Texas,265,22,138,99,6,2440,198,176,687,686,190,357,146,2066,503
0500000US48387,Red River County  Texas,1008,152,508,318,30,8804,475,894,3539,2152,637,851,256,7435,1107
0500000US48389,Reeves County  Texas,1682,340,761,562,19,10073,1854,1786,2779,2073,495,787,299,6433,1086
0500000US48391,Refugio County  Texas,637,179,163,295,0,4900,398,549,1799,1101,475,415,163,3953,578
0500000US48393,Roberts County  Texas,41,9,28,1,3,567,5,46,157,162,48,112,37,516,149
0500000US48395,Robertson County  Texas,1426,309,615,502,0,11401,711,1132,4179,3027,513,1294,545,9558,1839
0500000US48397,Rockwall County  Texas,7353,977,2466,3249,661,60582,2171,2590,11864,14306,5248,15909,8494,55821,24403
0500000US48399,Runnels County  Texas,857,179,332,299,47,6968,776,721,2435,1367,395,1034,240,5471,1274
0500000US48401,Rusk County  Texas,4770,1064,1807,1802,97,36574,2724,4536,11522,9436,3046,3602,1708,29314,5310
0500000US48403,Sabine County  Texas,500,127,173,189,11,7994,301,796,3117,2057,447,783,493,6897,1276
0500000US48405,San Augustine County  Texas,535,119,137,279,0,6124,458,717,2390,1386,357,489,327,4949,816
0500000US48407,San Jacinto County  Texas,1918,692,878,292,56,19779,1262,1916,9787,3831,823,1422,738,16601,2160
0500000US48409,San Patricio County  Texas,6112,1107,2854,1966,185,42736,3781,4960,13974,10523,3130,4364,2004,33995,6368
0500000US48411,San Saba County  Texas,505,123,261,98,23,4239,540,552,1433,964,140,451,159,3147,610
0500000US48413,Schleicher County  Texas,218,24,81,39,74,2001,267,163,481,629,131,257,73,1571,330
0500000US48415,Scurry County  Texas,1698,441,700,515,42,11238,1171,1320,3629,2674,587,1177,680,8747,1857
0500000US48417,Shackelford County  Texas,282,122,91,69,0,2245,129,217,507,734,98,385,175,1899,560
0500000US48419,Shelby County  Texas,2312,594,899,769,50,16320,1755,2317,5444,3572,866,1783,583,12248,2366
0500000US48421,Sherman County  Texas,256,79,90,78,9,2092,331,160,581,528,79,320,93,1601,413
0500000US48423,Smith County  Texas,22778,3473,6293,11418,1594,146551,9181,12475,35529,37927,13590,25489,12360,124895,37849
0500000US48425,Somervell County  Texas,756,135,292,266,63,5972,128,599,2060,1429,326,1074,356,5245,1430
0500000US48427,Starr County  Texas,7370,1760,2677,2499,434,35345,10404,6744,8830,4468,1241,2569,1089,18197,3658
0500000US48429,Stephens County  Texas,841,319,314,181,27,6422,421,1052,1916,1524,441,712,356,4949,1068
0500000US48431,Sterling County  Texas,32,0,15,17,0,782,52,58,359,160,29,71,53,672,124
0500000US48433,Stonewall County  Texas,88,37,40,0,11,989,32,73,431,285,33,96,39,884,135
0500000US48435,Sutton County  Texas,252,17,116,119,0,2659,402,256,796,576,159,372,98,2001,470
0500000US48437,Swisher County  Texas,525,122,198,190,15,5059,495,860,1605,1190,262,482,165,3704,647
0500000US48439,Tarrant County  Texas,189330,27096,62898,80565,18771,1290366,87353,98243,309229,291433,98132,271552,134424,1104770,405976
